,MAIN_SVVD,POL_CDE,POL_NME,POD_CDE,POD_NME,WBL_AUD_DTDL,MAIN_SVVD_SAILING_DATE,NUM,PRICE,binom
6997,IC29-Q2P-106 S,YIK,营口,QZH,钦州,2020/1/10 10:00,2020/1/23 22:00,0,0,0
3565,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/10 12:00,2020/1/14 22:00,0,0,0
6998,IC29-Q2P-106 S,YIK,营口,QZH,钦州,2020/1/10 12:00,2020/1/23 22:00,0,0,0
3566,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/10 14:00,2020/1/14 22:00,0,0,0
6999,IC29-Q2P-106 S,YIK,营口,QZH,钦州,2020/1/10 14:00,2020/1/23 22:00,0,0,0
3567,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/10 16:00,2020/1/14 22:00,0,0,0
7000,IC29-Q2P-106 S,YIK,营口,QZH,钦州,2020/1/10 16:00,2020/1/23 22:00,0,0,0
3568,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/10 18:00,2020/1/14 22:00,0,0,0
7001,IC29-Q2P-106 S,YIK,营口,QZH,钦州,2020/1/10 18:00,2020/1/23 22:00,0,0,0
3575,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/11 8:00,2020/1/14 22:00,0,0,0
7015,IC29-Q2P-106 S,YIK,营口,QZH,钦州,2020/1/11 8:00,2020/1/23 22:00,4,2796,1
3576,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/11 10:00,2020/1/14 22:00,0,0,0
7016,IC29-Q2P-106 S,YIK,营口,QZH,钦州,2020/1/11 10:00,2020/1/23 22:00,0,0,0
3578,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/11 12:00,2020/1/14 22:00,3,2726,1
7017,IC29-Q2P-106 S,YIK,营口,QZH,钦州,2020/1/11 12:00,2020/1/23 22:00,0,0,0
7018,IC29-Q2P-106 S,YIK,营口,QZH,钦州,2020/1/11 14:00,2020/1/23 22:00,0,0,0
7019,IC29-Q2P-106 S,YIK,营口,QZH,钦州,2020/1/11 16:00,2020/1/23 22:00,0,0,0
7020,IC29-Q2P-106 S,YIK,营口,QZH,钦州,2020/1/11 18:00,2020/1/23 22:00,0,0,0
7032,IC29-Q2P-106 S,YIK,营口,QZH,钦州,2020/1/12 8:00,2020/1/23 22:00,2,2796,1
7033,IC29-Q2P-106 S,YIK,营口,QZH,钦州,2020/1/12 10:00,2020/1/23 22:00,0,0,0
7034,IC29-Q2P-106 S,YIK,营口,QZH,钦州,2020/1/12 12:00,2020/1/23 22:00,0,0,0
7035,IC29-Q2P-106 S,YIK,营口,QZH,钦州,2020/1/12 14:00,2020/1/23 22:00,0,0,0
7036,IC29-Q2P-106 S,YIK,营口,QZH,钦州,2020/1/12 16:00,2020/1/23 22:00,0,0,0
7037,IC29-Q2P-106 S,YIK,营口,QZH,钦州,2020/1/12 18:00,2020/1/23 22:00,0,0,0
7050,IC29-Q2P-106 S,YIK,营口,QZH,钦州,2020/1/13 8:00,2020/1/23 22:00,17,2711.294118,1
